type,category,review,star
SK매직 식기세척기,별점,"기사님 친절하시구, 사용시 소음좀 있어요
냄비종류는 깨끗이 안닦이며~ 간단한 밥그릇.국그릇.반찬그릇.컵.수저 정도는 무난히 설겆이 되요
가격대비 좋네요",평점4
SK매직 식기세척기,별점,"설치 꼼꼼히 해주었구요
주방인테리어와 잘어울리고
기능도 심플 하지만 효율적이네요

대가족 설겆이 스트레스에서
해방이 될 것 같네요",평점4
SK매직 식기세척기,별점,"새기계라 그런지 문 열릴 때 좀 빡빡 하네요.
그동안 빌트인 식기세척기 잘 쓰다가 고장 나서 이번에 바꿨구요 .
설치 기사님들은 매우 친절하셨어요.
사은품으로 받은 세제가 흘러서 별 하나 빼요~",평점4
SK매직 식기세척기,별점,"저는 바짝건조가 되는줄 알았는데
끝나고 문을 한참 열어놔야하는 시스템인지 모르고 샀어요;;;건조가 중요했는데...
가끔가다 설거지 귀찮을때 사용하면 유용해요",평점4
SK매직 식기세척기,별점,"사용법을 모르는지 건조기능을 원래 좀안돼나요 모양은 좋구 이쁜데 아쉬웁네여
가격대비 좋아요 이쁘고",평점4
SK매직 식기세척기,별점,"지정된 날짜와 시간에 맞춰서 설치해주셨어요!
식기세척기 큰걸로 샀는데 확실히 많이 들어가네요 작은거 샀으면 후회할뻔햇어요!
다만 자동문열림기능이 들어간걸로 샀으면 더 편했을거같아요
식기세척기 만족입니다!",평점4
SK매직 식기세척기,별점,"제품은 만족하나 제품 설명이 부족하네요.
문 높이 선택 cm 기재되어있어 문 제작시 걸레받침대가 당연히 같이오는줄 알았으나 같이 오지 않는 선택사항이더군요.

걸레받침대를 어떻게 해결해야할지 고민중입니다.",평점4
SK매직 식기세척기,별점,전에 사용하던거 보다 훨씬 조용합니다. 문열림이 조금 빡빡한데 원래 그런거라니 어쩔수 없지만 열때마다 조금 힘들긴하네요,평점4
SK매직 식기세척기,별점,"소음적고、시간은 오래걸려요.
살균소독되는것같아서 안심하고 쓰고있어요.
애벌해서 넣어야해서 좀 번거롭지만
편안해요.",평점4
SK매직 식기세척기,별점,"3인가족 기준 12인용은 다소 크네요. 6인용도 충분할듯 해요. 초벌 설거지 후 음식물 없는 상태에서 사용해야해요. 플라스틱류, 기름기때는 세척이 잘안되네요.",평점4
SK매직 식기세척기,별점,"도어 맞춤이라 외관은 깨끗합니다
이사전이라 실사용은 아니지만 새로산 그릇들 세척해보니 건조는 거의 안되네요
그래도 만족하고 쓰렵니다",평점4
SK매직 식기세척기,별점,설거지 너무 하기 싫어서 구매 했 만족 해요 머 자동 문 않열리면 어때요 잘 만 잘쓰고 있어요 ㅎㅎ,평점4
SK매직 식기세척기,별점,"잘 애용하고 있습니다 전기세는 확 늘긴했어요
누진세가 붙어서 이만원가량 늘었내요
하루에 한번 몰아서 돌리는중입니다.",평점4
SK매직 식기세척기,별점,"어머니 집에 설치하는거라 가보지 못해서 걱정했었는데, 설치해 주시는 마스터님께서 성심성의껏 해주셔서 좋았습니다~^^",평점4
SK매직 식기세척기,별점,"가격대비 좋은 상품임은 확실하지만
세척후 자동 문열림 기능이 있으면 좋겠다는 생각이 듭니다.돌려놓고 외출했다가 오거나 할때
좋은기능",평점4
SK매직 식기세척기,별점,예약 날짜에 잘 설치 받았습니다..인테리어 공사중 받아서 자리도 비웠었는데 설치 잘해주시고 사은품도 챙겨주시고 인증 사진도 보내주셨어요 .감사해요,평점4
SK매직 식기세척기,별점,만족합니다.. 집사람이 엄청 좋아하네요.. 엘지보다 훨씬 저렴하면서도 성능은 뛰어난듯..,평점4
SK매직 식기세척기,별점,오자마자 돌렸어요 ㅋ자동문열림이랑 고민햇지만 저는 디자인이 우선이라...ㅎ 잘쓸게요,평점4
SK매직 식기세척기,별점,생각보다 깨끗이 되지는 않아서 매일은 안쓰지만 가끔설겆이 하기싫을때 잘쓰고있어요,평점4
SK매직 식기세척기,별점,소음이 좀 있네요. 시댁에 좀 더비싼 다른 제품은 조용하던데 그래도 세척은 굿입니다,평점4
SK매직 식기세척기,별점,"가성비 좋아요
기능이 더 보완되고 가격이 올라가도
바람직함 설치기사님 별 다섯개~^^",평점4
SK매직 식기세척기,별점,전에 6인용 쓰다 이사오면서 12인용으로 구매했어요 생각보다 큰 사이즈라 장공사 함께 연결해 진행했어요 당일 공사 뒤에 바로 기계도 설치할 수 있어 좋았습니다,평점4
SK매직 식기세척기,별점,"식세없인 못삽니다.
대형식세는 허리를 구부려야한다는 치명적인 단점 하나 외에는 모두 용서할수 있어요 ㅎㅎ",평점4
SK매직 식기세척기,별점,현재까지 아무문제 없고 예전 동양매직인 식기세척기 보다 기능도 좀 더 좋고 잘 돌아갑니다. 잘쓰고 있습니다.^^,평점4
SK매직 식기세척기,별점,배송은 거의 일주일 걸린거 빼곤 기능은 기존에 쓰던 거라 쓸만해요. 완전 최신품은 아니지만 쓸만함 괜찮아요.,평점4
SK매직 식기세척기,별점,설치도 잘해주시고 있으니 너무 편해요~! 그릇도냄비도 많이들어가서 좋습니다~,평점4
SK매직 식기세척기,별점,식기세척기 실버색 패널도 같이 구매하여 설치완료 했습니다. 디자인도 기능도 나쁘지않고 저렴한 가격에 만족합니다.^^ 사은품도 주셨습니다.,평점4
SK매직 식기세척기,별점,어제 주문 후 오늘 배송&설치는 만족세척이 잘되는지 아직 몰라서 별하나 뺌,평점4
SK매직 식기세척기,별점,배송이 일주일정도 걸려서 별하나뺐어요~ 식세기는 너무좋아요~ 매일 사용하고 있어요~ 가성비 최고예요,평점4
SK매직 식기세척기,별점,디자인이 이뻐요 세척은 잘되는거같은데 생각보다 많이 들어가지는 않네요,평점4
SK매직 식기세척기,별점,기대했던것보다 건조는 안되지만 매우 편리해졌어요 잘사용하고있습니다,평점4
SK매직 식기세척기,별점,"그냥그래요,ㅠㅠ인덕션써야되는데 식세기를넣어버려서 몇일못쓰네요ㅠ",평점4
